format,title,topic,description,authors,published_date,publisher,URL
bachelorThesis,A importância da comunicação não violenta no âmbito escolar: algumas considerações,"CNPQ::LINGUISTICA, LETRAS E ARTES::LETRAS, Comunicação não violenta, escola, violência",.,"['Gonçalves, Geane Brinquedo']",2022-08-16,Universidade Federal de Mato Grosso,http://bdm.ufmt.br/handle/1/2930
masterThesis,Entre o silêncio e a escuta protegida: a escuta de crianças e adolescentes em situação de violência sexual como parâmetro na garantia dos direitos humanos,"Direitos humanos, Violência sexual - crianças e adolescentes., Escuta protegida","Decorridos 32 anos da implantação do Estatuto da Criança e do Adolescente (Lei Federal n. 8.069/90), há o reconhecimento de muitos avanços em vários aspectos, incluindo a aprovação de leis complementares, a implementação de mecanismos de participação e controle social e de políticas públicas de promoção e de proteção dos direitos de crianças e adolescentes, com melhor estruturação do Sistema de Garantia de Direitos da Criança e do Adolescente (SGDCA). No entanto, os indicadores sociais demonstram baixo impacto na vida das crianças e dos adolescentes, com números significativos de violação de direitos, com ênfase na violência sexual. Entre os fatores, destacam-se: a falta à universalização das políticas de prevenção, evitando a vitimização de crianças e adolescentes e uma rede de proteção estruturada e funcionando de forma a não revitimizá- los. Os dados demonstram uma atuação desarticulada, atendimentos inadequados, com escutas invasivas, onde a criança e o adolescente precisam falar, pelo menos, cinco vezes da violência sofrida, sem protocolos e fluxos que possibilitem um modus operandi que garanta seus direitos, enquanto sujeitos, em condição peculiar de desenvolvimento. A presente pesquisa objetiva identificar e analisar os procedimentos e as práticas de escuta de crianças e adolescentes vítimas de violência sexual pelos órgãos que compõem a rede de proteção do município do Recife/PE, tendo por referencial a Lei 13.431/2017 (BRASIL,2017) e o Decreto 9.603/2018 (BRASIL, 2018) que determinam os parâmetros para a escuta protegida, incluindo a escuta especializada e o depoimento especial. A metodologia é de base qualitativa, numa abordagem exploratória, por meio de investigação empírica com sujeitos concretos, utilizando por instrumentos: entrevista semiestruturada, observação não participante e análise documental junto aos órgãos que realizam a escuta de crianças e adolescentes, compondo a amostra o Conselho Tutelar, Educação, Saúde e Assistência Social, além do GT de Risco e do Comitê de Gestão Colegiada; utilizando como categorias observáveis a forma como os profissionais têm atuado diante da revelação da violência, em sua escuta, denúncia, notificação e acompanhamento, tendo em vista suas atribuições. A fundamentação teórica percorreu a visão e o tratamento dados historicamente a crianças e adolescentes; a compreensão da violência sexual, enquanto fenômeno social; a legislação vigente e sua trajetória na escuta de crianças, com referenciais teóricos em autores da infância (Ariés, 1981; Heywood, 2004; Santos, 1996; Faleiros, 2000, 2008; Rizzini, 2004; Azevedo & Guerra, 1989, 1993, 1995), entre outros. Analisamos os resultados e apresentamos contribuições à luz de elementos da Psicologia histórico-social de Vygotsky (1999), da Pedagogia libertadora de Freire (1996); Alves (2010) e da Comunicação não-violenta de Rosenberg (2006), que oferecem possíveis caminhos para a escuta, tendo em vista os resultados que apontaram uma rede de proteção que, apesar de sua robustez e avanços, ainda tem dificuldades na escuta de crianças e adolescentes, incidindo na repetição de escutas, sobreposição de papéis, ausência de protocolos e de fluxos entre os segmentos, além da falta de formação especifica para a escuta protegida. Almejamos com esse estudo, oferecer um aporte que reforce o ser sujeito e proteja as crianças e os adolescentes; subsidie a formação e a prática dos atores sociais e contribua com políticas públicas baseadas numa escuta qualificada, protetiva e não violenta, enquanto direito fundamental inerente a toda criança e adolescente.","['MORAIS, Roseane Fatima de Queiroz']",2022-12-06,Universidade Federal de Pernambuco,https://repositorio.ufpe.br/handle/123456789/51411
book,Convivência entre as pessoas que vivem a deficiência de maneiras diferentes: a Pedagogia da Cooperação para venSer juntos.,"Co-Existência. Convivência. Deficiência. Inclusão social. Pedagogia da Cooperação., Pedagogia. Inclusão social.","Este livro propõe facilitar a convivência entre pessoas que vivem e não vivem a deficiência (isto é, que vivem a deficiência de maneiras diferentes) com a criação de espaços de conexão, identificação das necessidades de pertencimento, reconhecimento das potencialidades existentes entre as pessoas; construção de soluções criativas para “Com-Vivência” e sensibilização sobre a importância do senso de “Comum-Unidade”. Para contextualizar esta pesquisa, é preciso que se entenda que ela advém da convivência, da deficiência, da inclusão social e da Pedagogia da Cooperação. Os dados foram coletados mediante a aplicação das 7 práticas da Pedagogia da Cooperação. Para isso, foi realizado um encontro entre pessoas que vivem e não vivem a deficiência, durante a Semana de Extensão Universitária na Faculdade de Ciência da Informação na Universidade de Brasília (FCI/UnB), investigando as barreiras comunicacionais de interação e envolvimento social para propor caminhos de coexistência.Os resultados mostraram a importância de ter um ambiente preparado, de modo a promover o Com-Tato; de elaborar e cuidar do Com-Trato. Na realização do Com-Trato, surgiram pedidos, tais como: olhar nos olhos, respeitar as diferenças, ouvir com atenção, estar aberto, incentivar a liberdade, trazer experiências pessoais, lanchar todo dia, dançar, trabalhar a respiração por 1 minuto, e abraçar, pelo menos, 3 pessoas por encontro.Ao aplicar as 7 práticas da Pedagogia da Cooperação, foram compartilhadas as In-Quietas-Ações na forma de perguntas provocativas e investigativas; foram fortalecidas alianças e parcerias com o apoio da comunicação não-violenta (CNV); foram realizados exercícios e jogos para incentivar os participantes a colocarem-se no lugar uns dos outros; os participantes elaboraram seus mapas de competências; e as soluções comuns do grupo foram reunidas.Celebramos a realização do projeto que culminou no Manifesto. Os itens do manifesto foram elaborados com base no mapa de competências e inquietações dos participantes. O manifesto propõe facilitar a convivência entre pessoas que vivem a deficiência de formas diferentes. Foram observadas a unidade e a empatia entre os participantes do grupo, o que ilustra a importância da convivência e do cuidado um com o outro.","['Kafure Muñoz, Ivette; Universidade de Brasília (UnB)', 'Ioris, Maiara Nicolodi', 'Pereira, Fernando Henrique Lopes']",2021-08-31,Portal de Livros da UnB,https://livros.unb.br/index.php/portal/catalog/book/125
article,Bullying a partir de uma narrativa biográfica: família e escola no cerne da questão,"Educação, Psicologia, Práticas escolares","A violência percebida – e vivida – por estudantes manifestase de múltiplas maneiras, no ambiente escolar, entretanto um dos tipos de violência que provoca grande dano físico e psíquico ao estudante é a agressão conhecida como bullying (valentão ou brigão em tradução livre para a língua portuguesa). Esse pode ser compreendido como práticas de atos violentos, intencionais e repetitivos de uma pessoa contra outra. Como decorrências, a vítima pode sofrer desde sintomas de ansiedade, depressão, baixo desempenho escolar, comportamentos antissociais e stress, até autoflagelação e suicídio. Partindo desse contexto, o presente artigo objetivou discutir, criticamente, o papel da família e da escola como espaços que podem erigir e potencializar o fenômeno bullying, bem como sugerir possibilidades de ação na perspectiva da cultura de paz no ambiente escolar. Como caminho metodológico, foi entrevistado um estudante que, por longos anos, foi vítima de bullying. As entrevistas ocorreram na perspectiva da História Oral, a qual impele um olhar sociocultural ao fenômeno narrado, compreendendo que nenhuma história é apenas individual, mas está inscrita num cenário social e culturalmente construído. O suporte teórico está apoiado nos estudos de Pierre Bourdieu (1996), Cleo Fante (2011), Miriam Abramovay (2010), entre outros autores, que auxiliam a refletir sobre as relações socioculturais na interface com a violência escolar. O texto foi finalizado com uma análise crítica a respeito do papel da escola no combate e na prevenção do bullying, bem como indicando possibilidades de ação para lidar com o problema, tendo como base a comunicação não violenta, a disciplina positiva, dentre outros caminhos que se inserem na perspectiva da cultura de paz.Palavras-chave: Bullying. Escola. Narrativas.","['Aragão, Milena']",2021-10-19,Universidade de Caxias do Sul,http://www.ucs.br/etc/revistas/index.php/conjectura/article/view/8233
article,CONTRIBUIÇÕES DA PSICOPEDAGOGIA À CAPACITAÇÃO EM NEGOCIAÇÃO E MEDIAÇÃO DE CONFLITOS,,"Esse trabalho analisa os indícios de causalidade para o aproveitamento e a evasão dos alunos nos cursos de Negociação e Mediação de Conflito, realizados na Escola de Gestão Penitenciária, a luz da psicopedagogia. A metodologia de abordagem qualitativa empregou análise da literatura com uso de tabela de análise de textos acadêmicos-científicos e conteúdo para o questionário semiestruturado aplicado a 124 alunos do curso de Negociação e Mediação de Conflito, realizados na Escola de Gestão Penitenciária (EGP) do ano de 2015 a 2019. O artigo demonstra a relevância dessa formação para as atividades do servidor penitenciário, funcionários da Secretaria de Administração Penitenciária do Estado do Rio de Janeiro, comprovando que a aprendizagem de técnicas de gestão de conflito e o desenvolvimento de habilidades relacionais, atenua o desgaste emocional frente ao ambiente laboral, contribuindo para a saúde do servidor. Aduziu-se que a capacitação promove ações transformadoras comprometidas com a ética e bem estar social de todos os envolvidos. Palavras-chaves: Negociação e Mediação de Conflitos. Atributos causais. Psicopedagogia. ","['Gallo, Flávia Fróis', 'Novikoff, Cristina']",2021-07-17,FaSF,https://revistavalore.emnuvens.com.br/valore/article/view/973
article,Culture of Peace: Historical and Conceptual Aspects,"Peace studies, Violence, Culture of peace, Nonviolent communication, Estudos de paz, Violência, Cultura de paz, Comunicação não violenta","This article aims to discuss the concept of Peace as a cultural constructo and as an opposition to passivity in the face of social injustice. It carries out a historical and conceptual journey on the construction of the Culture of Peace, bringing the main apprehensions about peace that influenced the organization of life in society. The study comes from a bibliographic review, using the critical-dialectic method for analytical investigation and exposure of research results. The analyzes showed that the Culture of Peace, in seeking to resolve conflicts, contributes to the confrontation of the dominant culture, in which violence is combated through confrontation and ideological constructs that justify and naturalize it. In this way, it is possible to assert that Culture and Education for Peace are potentialities for the construction of knowledge and the affirmation of democracy, as they seek the genuine edification of human relations, based on values of social justice, solidarity and freedom.","['Oliveira, Simone Barros de', 'Vieira, Monique Soares', 'Brum, Letícia']",2021-12-30,Editora da PUCRS - ediPUCRS,https://revistaseletronicas.pucrs.br/ojs/index.php/fass/article/view/38618
article,Gestos de Presença e Envolvimento,Artigos,"Neste relato de experiência, explicitamos as fundamentações teóricas e apresentamos a prática, o contexto e as repercussões da metodologia de estudo, diálogo e reflexão do Grupo de Estudos Transdisciplinares institucionalizado na Universidade Estadual do Ceará. Na fundamentação teórica, explicitamos sua vinculação: com a perspectiva de ser humano e de realidade da Complexidade e da Transdisciplinaridade; com a presença e a escuta da meditação e da Comunicação Não Violenta; com a reflexão ampliada e o diálogo amoroso do método integrativo biocêntrico e da educação dialógica; com o processo de formação do ser e de transformação de si e do mundo; com a integração da inteligência com afetividade e da razão com emoção. A proposta metodológica se constitui de meditação inicial, de leitura em voz alta e lenta, com o desfrute do prazer de estarmos juntos(as), do diálogo, das reflexões, das partilhas de experiências, da associação livre de ideias de todos(as) presentes. Como repercussões em duas estudantes assíduas, percebemos a fluência na leitura, a estruturação de suas argumentações e exposição de seus pensamentos e reflexões, diminuição da timidez com mais confiança em sua própria fala e ampliação da compreensão dos textos lidos. Em nossa prática docente, percebemos a ampliação dos movimentos de escuta e de diálogo com os(as) estudantes nos ambientes de ensino e de aprendizagem, abertura ao paradigma da aprendizagem, a realização de tutorias e projetos de aprendizagem, o cuidado com a acolhida aos(às) que chegam e ao cuidado connosco mesmas.","['de Oliveira Barbosa, Gardenia Maria', 'Pereira Scherre, Paula']",2021-12-21,Escola Superior de Educação do Instituto Politécnico de Santarém,https://doi.org/10.25755/int.25192
masterThesis,As mídia jornalísticas brasileiras e a violência na comunicação social,"Jornalismo, Meios de Comunicação, Violência, Carnaval brasileiro, Domínio/Área Científica::Ciências Sociais::Ciências da Educação","O presente estudo tem como principal foco abordar se as mídia contribuem para a violência no cotidiano brasileiro por meio da comunicação, nomeadamente as mídia jornalísticas. Para tanto refletimos sobre a manifestação da violência na sociedade e a importância da mídia na comunicação, apresentamos o método de comunicação não violenta e fazemos uma análise da influência das mídia jornalísticas sobre a violência na comunicação. A presente pesquisa torna-se pertinente no sentido de analisar atitudes, que não desenvolvem uma comunicação saudável e consequentemente estimulam a violência social. O estudo consiste numa pesquisa aplicada de caráter exploratório e descritivo, com resultados tratados de maneira qualitativa, a partir da recolha de informações, utilizando como técnica de recolha de dados entrevistas semiestruturadas, feitas a sete participantes moradores no Rio de Janeiro. Foi possível concluir que os entrevistados consideram que as mídia jornalísticas contribuiram para a violência desenvolvida no carnaval 2020 e que sendo um setor da sociedade que tem a função de propagar a informação, o faz de maneira a satisfazer outros interesses, sem se preocupar com a violência gerada numa sociedade que tem dificuldade em aceitar as diferenças sociais, culturais, economicas.","['Silva, Rodrigo Laureano']",2021-05-18T14:29:47Z,,http://hdl.handle.net/10400.8/5793
masterThesis,Retoma las Ondas: un proyecto colaborativo de alfabetización digital,"Digital literacy, Podcast, Collaborative project, Educommunication, Autonomy, Participation, Alfabetización digital, Proyecto colaborativo, Educomunicación, Autonomía, Participación","This project explores the podcast as a tool to promote digital literacy in community environments. It shows the design process of a community intervention built on the methodological bases of educommunication, a theoretical and practical field that draws from critical pedagogy, communication and the study of media and seeks to put them at the service of a fair and sustainable development. The target community is Retoma, an agroecological community with which I collaborate and which was born in Madrid three years ago in response to the lack of green spaces, real communities of participation and leisure opportunities not linked to consumption. Through the collaborative construction of a podcast, this project seeks to provide Retoma with its own media, increase the digital skills of its members and promote its organizational development. In order to create an Action Plan that is solidly grounded and sensitive to the collective's reality, a participatory Action Research process was carried out with focus groups, individual interviews, participant observation and artifact studies. Based on the results obtained, a set of pedagogical, artistic and communicative activities is presented in five phases: community diagnosis, podcast design, production, dissemination and evaluation. In addition to applying the principles of educommunication, the proposed activities are inspired by other collaborative methodologies such as Dragon Dreaming, Sociocracy and Nonviolent Communication. The Action Plan also describes the most important operational, logistical and financial issues of the project, anticipating some of the difficulties that may be encountered in its implementation.","['Ahijado Aparicio, Ignacio']",2021-11-08T13:57:51Z,,http://hdl.handle.net/10071/23502
article,A new look at the resolution of educational conflicts – Constructive processes through school mediation,"Mediação escolar, Convivência educacional, Violência, Conflito., School mediation, Educational coexistence, Violence, Conflict., Mediación escolar, Convivencia educativa, Violencia, Conflicto.","The text aimed to study the school life, its violence, conflicts and mediation in the space and time of the school, using pedagogical and methodological tools that aim to exercise empathy, dialogue and conflict resolution, demonstrating how the Practices Restorative, through Mediation, can help to improve teaching and learning in the school universe. The methodology was developed through bibliographic reviews using a dialectical method in an ethnographic approach (Marconi; Lakatos, 2005), which sought theoretical support in authors such as: Abramoway (2002), Heredia (1999), Marshal (2019). The results showed that Restorative Practices, through the Mediation of Conflicts, Restorative Circles, Non-Violent Communication are tools that promote individuals to a new meaning and reconstruction in the way of teaching and learning inside and outside the school space.","['Couto, Lúcia Maciel', 'Monteiro, Edenar Souza', 'Brito, Marcela Cristiane Ribeiro', 'Silva, Monica Vieira da']",2021-08-05,"Research, Society and Development",https://rsdjournal.org/index.php/rsd/article/view/18618
masterThesis,A necessidade de um pensar restaurativo brasileiro: reflexões sobre movimentos decoloniais e a justiça juvenil,"Justiça restaurativa, Resolução de conflitos, Brasil, Proposta sulear, Interdisciplinaridade, Interdisciplinariedad, Restorative Justice, Conflict resolution, Brazil, Southern proposal, Interdisciplinarity, Justicia restaurativa, Resolución de conflictos, Brasil, Propuesta sureña, CIENCIAS SOCIAIS APLICADAS::DIREITO","This work has as its scope the critical analysis of restorative justice in the juvenile context, more specifically, under a decolonial prism of justice, using the sulear proposal as a theoretical basis, in view of the recent dissemination of restorative justice within the Brazilian judiciary system. The research has a qualitative nature, using the deductive methodology and bibliographic research carried out in articles, books, research, and journals already published on the subject in Brazil. Initially, a brief historical and criminological analysis of the main movements that influenced the emergence of restorative justice on a global scale was carried out, mainly the movements of critical criminology, penal abolitionism, and victimology, aiming at a better understanding of the theme, based on the thought of several authors who critically analyze restorative justice. In a second moment, the research aimed to investigate the emergence of restorative justice in Brazil, its principles, methods, and forms of application in the national scenario. Lastly, in the third chapter, the study is dedicated to the analysis of restorative thinking from a decolonial perspective, initially highlighting the movement of Latin American constitutionalism, and then the sulear movement, thereafter, moving on to the main topic of research, the focus on the reality and on the specific needs of the adolescents that integrate the Brazilian infraction system. In conclusion, in the context of the construction of a Brazilian restorative thinking in the juvenile background, it is considered relevant to recognize and understand the local reality of adolescents inserted in this system, in addition to the application of restorative justice methodologies, non-violent communication and active listening, aiming at the construction of a restorative thinking suited to the national reality and a truly integrative justice.","['Keller, Raquel Blankenheim de Brito']",2021-11-29,Universidade Estadual do Oeste do Paraná,https://tede.unioeste.br/handle/tede/5859
masterThesis,Star's rescuers: um jogo de tabuleiro colaborativo para o ensino da evolução estelar,"CNPQ::CIENCIAS EXATAS E DA TERRA, Ciências físicas, Jogos educativos, Estrelas - Evolução, Physical sciences, Educational games, Stars - Evolution, Física/Ensino de Física","Na presente dissertação, elaborada no contexto formativo do Programa de Pós-graduação Mestrado Nacional Profissional em Ensino de Física, apresentamos uma proposta para o ensino da Evolução Estelar na disciplina de Física, a qual foi concebida e aplicada junto ao 3º ano do Ensino Médio. Por ser a etapa final da educação básica, esperasse que os alunos estejam familiarizados com os conceitos essenciais de gravitação e termologia, bem como noções sobre a estrutura atômica e reações químicas, as quais são desejáveis (mas não imprescindíveis) para a apropriação das novas aprendizagens. Sob essa perspectiva, a Evolução Estelar será abordada de forma transdisciplinar, relacionando diversos conceitos de Física e demais Ciências da Natureza, servindo, nesse nível de ensino, como uma experiência introdutória os domínios da Astronomia e da Astrofísica. Este trabalho atenta às orientações das Diretrizes Curriculares Nacionais para o novo Ensino Médio (2018) e está alinhado às premissas da BNCC do Ensino Médio sobre as competências e habilidades preconizadas no componente Ciências da Natureza, as quais entendemos desprestigiadas pelos atuais programas escolares. Amparados pela teoria histórico-cultural de Vygotsky, complementada pelos pressupostos do modelo de comunicação não violenta de Marshall Rosenberg, elaboramos a unidade didática e o respectivo produto educacional, o jogo de tabuleiro “Star’s Rescuers”. Contemplamos os tópicos referentes à Evolução Estelar que, segundo nosso julgamento, mostraram-se mais adequados à construção das aprendizagens desejadas. O produto educacional, adotado como ferramenta didática, mostrou-se de grande valor para a compreensão da Evolução Estelar, bem como para o enriquecimento da experiência dos alunos em relação ao estudo da Física.","['Guizzo, Marcos Antonio']",2021-11-05,Universidade Tecnológica Federal do Paraná,http://repositorio.utfpr.edu.br/jspui/handle/1/28526
bookPart,Práticas restaurativas no ambiente escolar : contribuições à orientação educacional,Orientação educacional,"O texto trata do tema da Comunicação Não Violenta e dos Círculos de Paz nas escolas a partir dos princípios da justiça restaurativa como contribuição à orientação educacional. A reflexão, de base teórica, apresenta subsídios das práticas restaurativas potentes à construção de uma cultura de paz no espaço escolar. O objetivo é contribuir com as práticas de orientadoras educacionais e despertar para a importância do tema e de como ele pode ser uma prática revolucionária para as relações humanas nas escolas, com base na comunicação.","['Santos, Karine dos']",2021,,http://hdl.handle.net/10183/232558
masterThesis,Capacitação docente: eficaz para as práticas de comunicação não violenta,"CNPQ::CIENCIAS DA SAUDE, Violência, Comunicação, Educação, Violence, Communication, Education","Introduction: The violence present in contemporary society has become a relevant issue in the school and community environment, as a need for changes for more positive human relationships. Nonviolent Communication (CNV) seeks to resolve conflicts through various practices that encourage compassion and empathy. Objective: to train teachers of secondary education integrated to technical, to use the principles of the CNV, in order to spread the culture of peace. Methodology: exploratory, descriptive, prospective study with a qualitative approach. The research was approved by the Research Ethics Committee of the Faculty of Medical and Health Sciences of the Pontifical Catholic University of São Paulo. Semi-structured interviews were conducted with 35 teachers and 40 students, seeking to analyze how communication and conflict management take place in the school environment. The professors were then divided into an experimental group (n=20), which participated in two workshops using the CNV tools, and a control group (n=15), which did not receive any intervention. After the workshops, the students, blind about which teachers participated in the workshops, were again interviewed to point out indicators whether or not the awareness of the teachers and the relation to the CNV occurred. Data collection took place virtually using the Teams platform, from March to May 2021. For the interpretation of qualitative data, Laurence Bardin's content analysis method was used. Results: Students and teachers identified changes in the behavior of participants in the experimental group, creating more assertive and less violent communication alternatives in dealing with conflicts within the school. In addition, they began to value and respect more individual and collective experiences, diversities and experiences, expanding their understanding of themselves and their belonging in the school environment. Conclusion: the professors of the experimental group were sensitized and trained to use the pillars that guide the CNV, fostering and being multipliers of a culture of peace","['Coltri, Ana Maria Nastri Manfredini']",2021-07-29,Pontifícia Universidade Católica de São Paulo,https://repositorio.pucsp.br/jspui/handle/handle/23837
article,Terapia Ocupacional na universidade pública e ações de enfrentamento à Covid-19: singularidades e/nas multiplicidades/Occupational therapy at the public university and actions to confront Covid-19: singularities and/in multiplicities,"Terapia Ocupacional, Ensino; Pesquisa; Extensão; Pandemia; Formação Profissional, Universidade; pandemia","Frente aos impactos causados pela pandemia de COVID–19 tem-se inaugurado experiências em diversas áreas profissionais, dentre as quais se destaca a Terapia Ocupacional. Identifica-se contribuições da área a partir da universidade pública e a produção de ações integradas de gestão, ensino, pesquisa, extensão e produção acadêmica. A partir do relato de experiências vividas na Universidade Federal de São Carlos (UFSCar), ilustra-se como a dinamicidade do momento que tem convocado a (re)pensar a função social da universidade e imposto a necessidade de adotar novas reflexões e estratégias para a continuidade e/ou reorientação do trabalho para responder demandas de proporções pandêmicas, na interação entre docentes e discentes. Além disso, nota-se que o fomento de ações de apoio, acolhimento e cuidado, para além de questões administrativas e de caráter acadêmico pedagógicas, têm sido uma diretriz comum.AbstractConsidering the impacts caused by CoVid–19 pandemic, experiences have been opened in several professional areas, among which the occupational therapy performance stands out. Identify themselves contributions from public universities and from integrated actions of management, teaching, research, extension and academic production. From lived experience's at the Federal University of São Carlos (UFSCar) reports, it is illustrated how the moment's dynamism called us to (re) think the university social function and imposed the need to adopt new reflections and strategies for continuity and / or work reorientation , in response of pandemic proportions demands, in the interaction between teachers and students. In addition, it is noted that promoting support, welcoming and care actions, beyond the administrative and pedagogical issues, have been a common guideline.Key words: Teaching; Search; Extension; Pandemic; Professional qualification. ResumenAnte los impactos causados por la pandemia de COVID-19, se han lanzado experiencias en varias áreas profesionales, entre las cuales se destaca la Terapia Ocupacional. Identifica contribuciones para la disciplina desde la universidad pública y la producción de acciones integradas para la gestión, la enseñanza, la investigación, la extensión y la producción académica. A partir de la narrativa de experiencias vividas en la Universidad Federal de São Carlos (UFSCar), se ilustra cómo el dinamismo del momento que llamó a (re)pensar la función social de la universidad e impuso la necesidad de adoptar nuevas reflexiones y estrategias para el continuidad y/o reorientación del trabajo para responder a demandas de proporciones pandémicas, entre la interacción de docentes y alumnos. Además, se observa que la promoción de acciones de apoyo, acogida y atención, además de cuestiones pedagógicas administrativas y académicas, ha sido una guía común.Palabras clave: Enseñanza; Investigación; Extensión; Pandemia; Formación profesional. ","['Silva, Carla Regina', 'Fornereto, Alana de Paiva Nogueira', 'Paolillo, Alessandra Rossi', 'Andrade, Alice Fernandes', 'Fernandes, Amanda Dourado Souza Akahosi', 'Valente Santos, Claudia Aline', 'Lourenço, Gerusa Ferreira', 'Morato, Giovana Garcia', 'Martini, Larissa Campagna', 'Martinez, Luciana Bolzan Agnelli', 'Silva, Marina Jorge da', 'Castro, Sara Mariana de', 'Ferigato, Sabrina Helena', 'Lussi, Isabela Aparecida de Oliveira', 'Carrijo, Débora Couto de Melo']",2020-05-15,Universidade Federal do Rio de Janeiro,https://revistas.ufrj.br/index.php/ribto/article/view/34463
article,JUVENTUDE E ESCOLA: VIOLÊNCIA E PRINCÍPIOS DE JUSTIÇA EM ESCOLARES DE ENSINO MÉDIO,"Juventude, Escola, Justiça, Democracia, Violência","RESUMO O artigo analisa as percepções de justiça e injustiça no espaço escolar, com ênfase nos princípios de justiça. A pesquisa com escolares do Ensino Médio de Brasil e Portugal contrasta o sentimento de injustiça resultante de conflitos presentes nas duas realidades. Apoia-se em conceitos como juventudes, democracia e justiça. Os dados tratados via análise de conteúdo reforçam a tese de que a escola é um lugar propício para resolver conflitos de maneira não violenta, e acrescenta como seus limites a fundamentação nos princípios básicos da justiça: a comunicação não violenta, a empatia e o respeito.","['Botler,Alice Miriam Happ']",2020-03-01,CEDES - Centro de Estudos Educação e Sociedade,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622020000100026
masterThesis,Desenvolvimento profissional de professores de cursos profissionalizantes para jovens e adultos,"desenvolvimento profissional docente, formação continuada de professores, comunidades de aprendizagem, educação profissionalizante, CNPQ::CIENCIAS HUMANAS::EDUCACAO","This research aims to characterize the learning and professional development processes of teachers of technical courses for young people and adults at an institution that has been operating for over 70 years in the professional education segment. For the development of the research, we counted on the participation of three teachers, who, through a questionnaire, recorded notes about their academic and professional school trajectories; how they learned and what they still consider necessary to learn in order to offer teaching situations that lead to improved student learning; the knowledge base necessary to be a teacher of technical courses and finally to point out elements for the process of continuing education to work in professional qualification courses; Theoretical, descriptive and exploratory research was used to develop the reflections on the theme. Institutional documents were consulted to understand what perceptions the school has about its community, in addition to understanding how the school promotes the continuing education of its professionals. In order to assess the information, we also use the contributions of authors such as: Darling-Hammond, Cochram-Smith and Lytle, Marcelo Garcia, Mizukami, Nono, Shulman and Vaillant. The information given by the teachers to the questions proposed in this work, brought information about training needs that favor exchange between peers, the need to deepen knowledge in technological tools and their applications aligned to pedagogical content, non-violent communication strategies and technical knowledge, as it will facilitate alignment of strategies for pedagogical practice, therefore , constitutes important subsidies for possible actions in the school in order to contribute to the strengthening of bonds and the construction of training scripts, having as a research point the issues that are part of the daily routine for the continuous development of teachers.","['Silva, Danilo Curaça']",2020-08-28,Universidade Presbiteriana Mackenzie,http://dspace.mackenzie.br/handle/10899/26531
bachelorThesis,Dificuldade do aprendizado na fase inicial do piloto devido à comunicação deficitária.,"Comunicação Assertiva, Instrução, Habilidades Comunicativas, Aprendizagem","The main objective of this monograph is to understand the importance and how the benefits of proper communication between a student and his/her flight instructor in the early stages of a pilot's life can contribute to his/her learning. It is relevant to draw attention to the use of assertive communication throughout the flight instruction process, in which communication plays a fundamental and vital role in the development of effective learning and continuous improvement. Communication used in a clear, objective and appropriate manner within the teaching process improves the student's learning, proficiency and understanding. The nonviolent communication within the air instruction avoids conflicts in the interpersonal relationships between instructor and student, making the air activity safer and it aims at the formation of the development of an adequate learning and collaborates for an education of assertive communicative professionals. This research methodology is exploratory and this study is carried out through bibliographic and documentary research with a qualitative approach. It was found that an assertive communication can directly help in the development of learning; because the more appropriate and clear is the communication between instructor and student within the teaching, the better will be the student’s understanding and learning.","['Lazzari, Renata']",2020-12-08T14:23:47Z,,https://repositorio.animaeducacao.com.br/handle/ANIMA/15890
article,"Transgerational aspects, parental styles and maternity: a group intervention for parental educational","Children, Health Education, Mothers, Parenting, Maternal and Child Health., Crianças, Educação em Saúde, Mães, Parentalidade, Saúde Materno Infantil., Niños, Educación en Salud, Madres, Crianza de los hijos, Salud Materna e Infantil.","This article aimed to report an experience of a group of mothers, in which the transgenerational aspects and their relationship with the Styles of exercise of motherhood were analyzed, as well as emphasizing the relevance of each pattern of caring toward their offspring infant development. This is a qualitative research carried out at the Laboratory of Practices in Psychology of a private University located in a city in the interior of Rio Grande do Sul. The group was formed by five caregivers of children aged six to eight years. The meetings followed structured sessions, based on cognitive-behavioral techniques and scheme therapy, and took place weekly for one hour, totaling six meetings. Semi-structured interviews with the families, a questionnaire of parental self-assessment and self-monitoring and a field diary produced by the researchers were used. It can be seen, from the intervention performed, that the mothers, for the most part, presented aspects of Authoritarian Style in care, establishing norms and limits without flexibility in parenting and with little regard for the children's feelings. Concomitant to this, they reported a very strict parental education from their parents and with little explicit expression of affection. Another Parental Pattern presented by some mothers was the Neglect, characterized by having little time with their child and not establishing rules for him. In addition, participants with a childhood history of high level demand and little affection were found and now hope to provide their children with a different reality from the one they lived in, without clear limits and with great affection for their children, characterized by the Indulgent Style. It can be understood that Parenting Styles are directly related to affective transgenerationality of caregivers. The intervention enabled a space for exchanging affective experiences between caregivers and proved to be psychoeducative for the development of non-violent communication with the children.","['Silva, Ana Claudia Pinto da', 'Danzmann, Pâmela Schultz', 'Cassel, Paula Argemi', 'Reginatto, Michelle Vargas', 'Abaid, Josiane Lieberknecht Wathier']",2020-05-12,"Research, Society and Development",https://rsdjournal.org/index.php/rsd/article/view/3805
